Season,Metro,MLB,NFL,NBA,NHL,MLB_teams,NFL_teams,NBA_teams,NHL_teams
2015,Seattle,1,1,0,0,30,32,30,30
2015,Research Triangle,0,0,0,1,30,32,30,30
2015,Montreal,0,0,0,1,30,32,30,30
2015,San Diego,1,1,0,0,30,32,30,30
2015,Buffalo,0,1,0,1,30,32,30,30
2014,Boston,1,1,1,1,30,32,30,30
2014,Los Angeles,1,0,2,1,30,32,30,30
2014,Chicago,2,1,1,1,30,32,30,30
2014,New York,2,2,2,2,30,32,30,30
2014,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2014,Pittsburgh,1,1,0,1,30,32,30,30
2014,Miami,1,1,1,1,30,32,30,30
2014,Dallas,1,1,1,1,30,32,30,30
2014,Detroit,1,1,1,1,30,32,30,30
2014,San Antonio,0,0,1,0,30,32,30,30
2014,Denver,1,1,1,1,30,32,30,30
2014,St. Louis,1,1,0,1,30,32,30,30
2014,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2014,Houston,1,1,1,0,30,32,30,30
2014,Toronto,1,0,1,1,30,32,30,30
2014,Washington D.C.,1,1,1,1,30,32,30,30
2014,New Jersey,0,0,0,1,30,32,30,30
2014,Anaheim,1,0,0,1,30,32,30,30
2014,Kansas City,1,1,0,0,30,32,30,30
2014,Philadelphia,1,1,1,1,30,32,30,30
2014,Baltimore,1,1,0,0,30,32,30,30
2014,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2014,Atlanta,1,1,1,0,30,32,30,30
2014,Minneapolis,1,1,1,1,30,32,30,30
2014,Phoenix,1,1,1,1,30,32,30,30
2014,Cleveland,1,1,1,0,30,32,30,30
2014,Indianapolis,0,1,1,0,30,32,30,30
2014,New Orleans,0,1,1,0,30,32,30,30
2014,Seattle,1,1,0,0,30,32,30,30
2014,Research Triangle,0,0,0,1,30,32,30,30
2014,Montreal,0,0,0,1,30,32,30,30
2014,San Diego,1,1,0,0,30,32,30,30
2014,Buffalo,0,1,0,1,30,32,30,30
2013,Boston,1,1,1,1,30,32,30,30
2013,Los Angeles,1,0,2,1,30,32,30,30
2013,Chicago,2,1,1,1,30,32,30,30
2013,New York,2,2,2,2,30,32,30,30
2013,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2013,Pittsburgh,1,1,0,1,30,32,30,30
2013,Miami,1,1,1,1,30,32,30,30
2013,Dallas,1,1,1,1,30,32,30,30
2013,Detroit,1,1,1,1,30,32,30,30
2013,San Antonio,0,0,1,0,30,32,30,30
2013,Denver,1,1,1,1,30,32,30,30
2013,St. Louis,1,1,0,1,30,32,30,30
2013,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2013,Houston,1,1,1,0,30,32,30,30
2013,Toronto,1,0,1,1,30,32,30,30
2013,Washington D.C.,1,1,1,1,30,32,30,30
2013,New Jersey,0,0,0,1,30,32,30,30
2013,Anaheim,1,0,0,1,30,32,30,30
2013,Kansas City,1,1,0,0,30,32,30,30
2013,Philadelphia,1,1,1,1,30,32,30,30
2013,Baltimore,1,1,0,0,30,32,30,30
2013,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2013,Atlanta,1,1,1,0,30,32,30,30
2013,Minneapolis,1,1,1,1,30,32,30,30
2013,Phoenix,1,1,1,1,30,32,30,30
2013,Cleveland,1,1,1,0,30,32,30,30
2013,Indianapolis,0,1,1,0,30,32,30,30
2013,New Orleans,0,1,1,0,30,32,30,30
2013,Seattle,1,1,0,0,30,32,30,30
2013,Research Triangle,0,0,0,1,30,32,30,30
2013,Montreal,0,0,0,1,30,32,30,30
2013,San Diego,1,1,0,0,30,32,30,30
2013,Buffalo,0,1,0,1,30,32,30,30
2012,Boston,1,1,1,1,30,32,30,30
2012,Los Angeles,1,0,2,1,30,32,30,30
2012,Chicago,2,1,1,1,30,32,30,30
2012,New York,2,2,1,2,30,32,30,30
2012,San Francisco/Bay Area,1,1,1,1,30,32,30,30
2012,Pittsburgh,1,1,0,1,30,32,30,30
2012,Miami,1,1,1,1,30,32,30,30
2012,Dallas,1,1,1,1,30,32,30,30
2012,Detroit,1,1,1,1,30,32,30,30
2012,San Antonio,0,0,1,0,30,32,30,30
2012,Denver,1,1,1,1,30,32,30,30
2012,St. Louis,1,1,0,1,30,32,30,30
2012,Tampa/St. Petersburg,1,1,0,1,30,32,30,30
2012,Houston,1,1,1,0,30,32,30,30
2012,Toronto,1,0,1,1,30,32,30,30
2012,Washington D.C.,1,1,1,1,30,32,30,30
2012,New Jersey,0,0,1,1,30,32,30,30
2012,Anaheim,1,0,0,1,30,32,30,30
2012,Kansas City,1,1,0,0,30,32,30,30
2012,Philadelphia,1,1,1,1,30,32,30,30
2012,Baltimore,1,1,0,0,30,32,30,30
2012,Milwaukee/Green Bay,1,1,1,0,30,32,30,30
2012,Atlanta,1,1,1,0,30,32,30,30
2012,Minneapolis,1,1,1,1,30,32,30,30
2012,Phoenix,1,1,1,1,30,32,30,30
2012,Cleveland,1,1,1,0,30,32,30,30
2012,Indianapolis,0,1,1,0,30,32,30,30
2012,New Orleans,0,1,1,0,30,32,30,30
2012,Seattle,1,1,0,0,30,32,30,30
2012,Research Triangle,0,0,0,1,30,32,30,30
2012,Montreal,0,0,0,1,30,32,30,30
2012,San Diego,1,1,0,0,30,32,30,30
2012,Buffalo,0,1,0,1,30,32,30,30
2011,Boston,1,1,1,1,30,32,30,30
2011,Los Angeles,1,0,2,1,30,32,30,30
2011,Chicago,2,1,1,1,30,32,30,30
