Date,Visitor,Home
12/11/21,Anaheim Ducks,Pittsburgh Penguins
12/11/21,Columbus Blue Jackets,Seattle Kraken
12/11/21,Dallas Stars,San Jose Sharks
12/11/21,Montreal Canadiens,St. Louis Blues
12/11/21,Chicago Blackhawks,Toronto Maple Leafs
12/12/21,Florida Panthers,Colorado Avalanche
12/12/21,Nashville Predators,New York Rangers
12/12/21,Anaheim Ducks,St. Louis Blues
12/12/21,Carolina Hurricanes,Vancouver Canucks
12/12/21,Minnesota Wild,Vegas Golden Knights
12/13/21,Calgary Flames,Chicago Blackhawks
12/14/21,Vegas Golden Knights,Boston Bruins
12/14/21,New York Rangers,Colorado Avalanche
12/14/21,St. Louis Blues,Dallas Stars
12/14/21,New York Islanders,Detroit Red Wings
12/14/21,Toronto Maple Leafs,Edmonton Oilers
12/14/21,Ottawa Senators,Florida Panthers
12/14/21,Carolina Hurricanes,Minnesota Wild
12/14/21,Calgary Flames,Nashville Predators
12/14/21,New Jersey Devils,Philadelphia Flyers
12/14/21,Montreal Canadiens,Pittsburgh Penguins
12/14/21,Seattle Kraken,San Jose Sharks
12/14/21,Los Angeles Kings,Tampa Bay Lightning
12/14/21,Columbus Blue Jackets,Vancouver Canucks
12/14/21,Buffalo Sabres,Winnipeg Jets
12/15/21,Seattle Kraken,Anaheim Ducks
12/15/21,New York Rangers,Arizona Coyotes
12/15/21,Washington Capitals,Chicago Blackhawks
12/16/21,Detroit Red Wings,Carolina Hurricanes
12/16/21,Toronto Maple Leafs,Calgary Flames
12/16/21,Columbus Blue Jackets,Edmonton Oilers
12/16/21,Los Angeles Kings,Florida Panthers
12/16/21,Buffalo Sabres,Minnesota Wild
12/16/21,Philadelphia Flyers,Montreal Canadiens
12/16/21,Vegas Golden Knights,New Jersey Devils
12/16/21,Colorado Avalanche,Nashville Predators
12/16/21,Boston Bruins,New York Islanders
12/16/21,Vancouver Canucks,San Jose Sharks
12/16/21,Ottawa Senators,Tampa Bay Lightning
12/17/21,Arizona Coyotes,Anaheim Ducks
12/17/21,Nashville Predators,Chicago Blackhawks
12/17/21,Vegas Golden Knights,New York Rangers
12/17/21,Buffalo Sabres,Pittsburgh Penguins
12/17/21,Dallas Stars,St. Louis Blues
12/17/21,Washington Capitals,Winnipeg Jets
12/18/21,Los Angeles Kings,Carolina Hurricanes
12/18/21,Columbus Blue Jackets,Calgary Flames
12/18/21,Tampa Bay Lightning,Colorado Avalanche
12/18/21,Chicago Blackhawks,Dallas Stars
12/18/21,New Jersey Devils,Detroit Red Wings
12/18/21,Florida Panthers,Minnesota Wild
12/18/21,Boston Bruins,Montreal Canadiens
12/18/21,Ottawa Senators,Philadelphia Flyers
12/18/21,Edmonton Oilers,Seattle Kraken
12/18/21,Toronto Maple Leafs,Vancouver Canucks
12/19/21,Nashville Predators,Carolina Hurricanes
12/19/21,Pittsburgh Penguins,New Jersey Devils
12/19/21,Vegas Golden Knights,New York Islanders
12/19/21,Boston Bruins,Ottawa Senators
12/19/21,Toronto Maple Leafs,Seattle Kraken
12/19/21,Arizona Coyotes,Vancouver Canucks
12/19/21,St. Louis Blues,Winnipeg Jets
12/19/21,Los Angeles Kings,Washington Capitals
12/20/21,Columbus Blue Jackets,Buffalo Sabres
12/20/21,Minnesota Wild,Dallas Stars
12/20/21,Colorado Avalanche,Detroit Red Wings
12/20/21,Anaheim Ducks,Edmonton Oilers
12/20/21,Montreal Canadiens,New York Islanders
12/21/21,Carolina Hurricanes,Boston Bruins
12/21/21,Anaheim Ducks,Calgary Flames
12/21/21,Florida Panthers,Chicago Blackhawks
12/21/21,Winnipeg Jets,Nashville Predators
12/21/21,St. Louis Blues,Ottawa Senators
12/21/21,Washington Capitals,Philadelphia Flyers
12/21/21,New Jersey Devils,Pittsburgh Penguins
12/21/21,Arizona Coyotes,Seattle Kraken
12/21/21,Vancouver Canucks,San Jose Sharks
12/21/21,Tampa Bay Lightning,Vegas Golden Knights
12/22/21,Colorado Avalanche,Buffalo Sabres
12/22/21,Winnipeg Jets,Dallas Stars
12/22/21,Edmonton Oilers,Los Angeles Kings
12/22/21,Montreal Canadiens,New York Rangers
12/23/21,Tampa Bay Lightning,Arizona Coyotes
12/23/21,Colorado Avalanche,Boston Bruins
12/23/21,Buffalo Sabres,Columbus Blue Jackets
12/23/21,Seattle Kraken,Calgary Flames
12/23/21,Dallas Stars,Chicago Blackhawks
12/23/21,Nashville Predators,Florida Panthers
12/23/21,Detroit Red Wings,Minnesota Wild
12/23/21,Montreal Canadiens,New Jersey Devils
12/23/21,Washington Capitals,New York Islanders
12/23/21,Carolina Hurricanes,Ottawa Senators
12/23/21,Philadelphia Flyers,Pittsburgh Penguins
12/23/21,Edmonton Oilers,San Jose Sharks
12/23/21,St. Louis Blues,Toronto Maple Leafs
12/23/21,Anaheim Ducks,Vancouver Canucks
12/23/21,Los Angeles Kings,Vegas Golden Knights
12/27/21,San Jose Sharks,Anaheim Ducks
12/27/21,Los Angeles Kings,Arizona Coyotes
12/27/21,Pittsburgh Penguins,Boston Bruins
12/27/21,New York Islanders,Buffalo Sabres
12/27/21,Florida Panthers,Carolina Hurricanes
12/27/21,Toronto Maple Leafs,Columbus Blue Jackets
12/27/21,Edmonton Oilers,Calgary Flames
12/27/21,Nashville Predators,Dallas Stars
12/27/21,Detroit Red Wings,New York Rangers
12/27/21,New Jersey Devils,St. Louis Blues
12/27/21,Seattle Kraken,Vancouver Canucks
12/27/21,Colorado Avalanche,Vegas Golden Knights
12/27/21,Minnesota Wild,Winnipeg Jets
12/27/21,Ottawa Senators,Washington Capitals
12/28/21,Columbus Blue Jackets,Chicago Blackhawks
12/28/21,Vegas Golden Knights,Los Angeles Kings
12/28/21,Arizona Coyotes,San Jose Sharks
12/28/21,Montreal Canadiens,Tampa Bay Lightning
12/29/21,Vancouver Canucks,Anaheim Ducks
12/29/21,New Jersey Devils,Buffalo Sabres
12/29/21,Dallas Stars,Colorado Avalanche
12/29/21,New York Rangers,Florida Panthers
12/29/21,Detroit Red Wings,New York Islanders
12/29/21,Boston Bruins,Ottawa Senators
12/29/21,Philadelphia Flyers,Seattle Kraken
12/29/21,Edmonton Oilers,St. Louis Blues
12/29/21,Pittsburgh Penguins,Toronto Maple Leafs
12/29/21,Chicago Blackhawks,Winnipeg Jets
12/29/21,Nashville Predators,Washington Capitals
12/30/21,Montreal Canadiens,Carolina Hurricanes
